Date,AlcoholSales
1992-01-01,1713.0
1992-02-01,1763.0
1992-03-01,1753.0
1992-04-01,1784.0
1992-05-01,1783.0
1992-06-01,1782.0
1992-07-01,1790.0
1992-08-01,1845.0
1992-09-01,1836.0
1992-10-01,1854.0
1992-11-01,1853.0
1992-12-01,1856.0
1993-01-01,1840.0
1993-02-01,1836.0
1993-03-01,1814.0
1993-04-01,1792.0
1993-05-01,1791.0
1993-06-01,1796.0
1993-07-01,1799.0
1993-08-01,1786.0
1993-09-01,1767.0
1993-10-01,1768.0
1993-11-01,1780.0
1993-12-01,1773.0
1994-01-01,1796.0
1994-02-01,1809.0
1994-03-01,1825.0
1994-04-01,1832.0
1994-05-01,1858.0
1994-06-01,1844.0
1994-07-01,1862.0
1994-08-01,1840.0
1994-09-01,1864.0
1994-10-01,1852.0
1994-11-01,1839.0
1994-12-01,1841.0
1995-01-01,1832.0
1995-02-01,1802.0
1995-03-01,1810.0
1995-04-01,1817.0
1995-05-01,1809.0
1995-06-01,1818.0
1995-07-01,1808.0
1995-08-01,1830.0
1995-09-01,1877.0
1995-10-01,1866.0
1995-11-01,1859.0
1995-12-01,1888.0
1996-01-01,1950.0
1996-02-01,1908.0
1996-03-01,1930.0
1996-04-01,1931.0
1996-05-01,1907.0
1996-06-01,1954.0
1996-07-01,1960.0
1996-08-01,1955.0
1996-09-01,1917.0
1996-10-01,1902.0
1996-11-01,1914.0
1996-12-01,1904.0
1997-01-01,1939.0
1997-02-01,1939.0
1997-03-01,1973.0
1997-04-01,1962.0
1997-05-01,1977.0
1997-06-01,2039.0
1997-07-01,2017.0
1997-08-01,2009.0
1997-09-01,2024.0
1997-10-01,2056.0
1997-11-01,2055.0
1997-12-01,2055.0
1998-01-01,2072.0
1998-02-01,2112.0
1998-03-01,2074.0
1998-04-01,2095.0
1998-05-01,2092.0
1998-06-01,2076.0
1998-07-01,2094.0
1998-08-01,2135.0
1998-09-01,2133.0
1998-10-01,2137.0
1998-11-01,2152.0
1998-12-01,2169.0
1999-01-01,2145.0
1999-02-01,2158.0
1999-03-01,2145.0
1999-04-01,2219.0
1999-05-01,2201.0
1999-06-01,2167.0
1999-07-01,2190.0
1999-08-01,2193.0
1999-09-01,2229.0
1999-10-01,2235.0
1999-11-01,2231.0
1999-12-01,2267.0
2000-01-01,2259.0
2000-02-01,2290.0
2000-03-01,2327.0
2000-04-01,2297.0
2000-05-01,2355.0
2000-06-01,2384.0
2000-07-01,2401.0
2000-08-01,2417.0
2000-09-01,2416.0
2000-10-01,2450.0
2000-11-01,2475.0
2000-12-01,2344.0
2001-01-01,2496.0
2001-02-01,2457.0
2001-03-01,2444.0
2001-04-01,2444.0
2001-05-01,2455.0
2001-06-01,2474.0
2001-07-01,2458.0
2001-08-01,2454.0
2001-09-01,2451.0
2001-10-01,2468.0
2001-11-01,2512.0
2001-12-01,2510.0
2002-01-01,2493.0
2002-02-01,2532.0
2002-03-01,2517.0
2002-04-01,2503.0
2002-05-01,2511.0
2002-06-01,2511.0
2002-07-01,2505.0
2002-08-01,2481.0
2002-09-01,2467.0
2002-10-01,2438.0
2002-11-01,2454.0
2002-12-01,2526.0
2003-01-01,2461.0
2003-02-01,2459.0
2003-03-01,2487.0
2003-04-01,2506.0
2003-05-01,2479.0
2003-06-01,2493.0
2003-07-01,2525.0
2003-08-01,2580.0
2003-09-01,2607.0
2003-10-01,2628.0
2003-11-01,2593.0
2003-12-01,2629.0
2004-01-01,2627.0
2004-02-01,2623.0
2004-03-01,2632.0
2004-04-01,2668.0
2004-05-01,2680.0
2004-06-01,2664.0
2004-07-01,2672.0
2004-08-01,2676.0
2004-09-01,2696.0
2004-10-01,2722.0
2004-11-01,2709.0
2004-12-01,2690.0
2005-01-01,2648.0
2005-02-01,2787.0
2005-03-01,2729.0
2005-04-01,2762.0
2005-05-01,2731.0
2005-06-01,2780.0
2005-07-01,2772.0
2005-08-01,2794.0
2005-09-01,2826.0
2005-10-01,2855.0
2005-11-01,2875.0
2005-12-01,2905.0
2006-01-01,2938.0
2006-02-01,3035.0
2006-03-01,2954.0
2006-04-01,2972.0
2006-05-01,2990.0
2006-06-01,2989.0
2006-07-01,2991.0
2006-08-01,2997.0
2006-09-01,3024.0
2006-10-01,3016.0
2006-11-01,3072.0
2006-12-01,3069.0
2007-01-01,3077.0
2007-02-01,3129.0
2007-03-01,3170.0
2007-04-01,3103.0
2007-05-01,3214.0
2007-06-01,3257.0
2007-07-01,3225.0
2007-08-01,3184.0
2007-09-01,3198.0
2007-10-01,3156.0
2007-11-01,3182.0
2007-12-01,3235.0
2008-01-01,3196.0
2008-02-01,3196.0
2008-03-01,3217.0
2008-04-01,3237.0
2008-05-01,3263.0
2008-06-01,3315.0
2008-07-01,3350.0
2008-08-01,3335.0
2008-09-01,3320.0
2008-10-01,3354.0
2008-11-01,3343.0
2008-12-01,3304.0
2009-01-01,3375.0
2009-02-01,3311.0
2009-03-01,3327.0
2009-04-01,3323.0
2009-05-01,3366.0
2009-06-01,3300.0
2009-07-01,3335.0
2009-08-01,3389.0
2009-09-01,3367.0
2009-10-01,3378.0
2009-11-01,3363.0
2009-12-01,3431.0
2010-01-01,3394.0
2010-02-01,3451.0
2010-03-01,3448.0
2010-04-01,3488.0
2010-05-01,3416.0
2010-06-01,3435.0
2010-07-01,3383.0
2010-08-01,3478.0
2010-09-01,3469.0
2010-10-01,3501.0
2010-11-01,3482.0
2010-12-01,3450.0
2011-01-01,3455.0
2011-02-01,3519.0
2011-03-01,3490.0
2011-04-01,3471.0
2011-05-01,3474.0
2011-06-01,3530.0
2011-07-01,3528.0
2011-08-01,3544.0
2011-09-01,3589.0
2011-10-01,3576.0
2011-11-01,3592.0
2011-12-01,3555.0
2012-01-01,3635.0
2012-02-01,3651.0
2012-03-01,3683.0
2012-04-01,3693.0
2012-05-01,3723.0
2012-06-01,3694.0
2012-07-01,3635.0
2012-08-01,3622.0
2012-09-01,3668.0
2012-10-01,3704.0
2012-11-01,3724.0
2012-12-01,3850.0
2013-01-01,3742.0
2013-02-01,3788.0
2013-03-01,3765.0
2013-04-01,3757.0
2013-05-01,3787.0
2013-06-01,3757.0
2013-07-01,3829.0
2013-08-01,3848.0
2013-09-01,3837.0
2013-10-01,3810.0
2013-11-01,3857.0
2013-12-01,3861.0
2014-01-01,3903.0
2014-02-01,3859.0
2014-03-01,3875.0
2014-04-01,3913.0
2014-05-01,3897.0
2014-06-01,4010.0
2014-07-01,3968.0
2014-08-01,3980.0
2014-09-01,3962.0
2014-10-01,4015.0
2014-11-01,3957.0
2014-12-01,4030.0
2015-01-01,4021.0
2015-02-01,4034.0
2015-03-01,4101.0
2015-04-01,4060.0
2015-05-01,4087.0
2015-06-01,4096.0
2015-07-01,4124.0
2015-08-01,4136.0
2015-09-01,4103.0
2015-10-01,4084.0
2015-11-01,4119.0
2015-12-01,4176.0
2016-01-01,4094.0
2016-02-01,4201.0
2016-03-01,4156.0
2016-04-01,4188.0
2016-05-01,4238.0
2016-06-01,4273.0
2016-07-01,4281.0
2016-08-01,4286.0
2016-09-01,4360.0
2016-10-01,4335.0
2016-11-01,4374.0
2016-12-01,4224.0
2017-01-01,4332.0
2017-02-01,4298.0
2017-03-01,4316.0
2017-04-01,4374.0
2017-05-01,4386.0
2017-06-01,4377.0
2017-07-01,4371.0
2017-08-01,4399.0
2017-09-01,4408.0
2017-10-01,4482.0
2017-11-01,4477.0
2017-12-01,4453.0
2018-01-01,4520.0
2018-02-01,4520.0
2018-03-01,4564.0
2018-04-01,4573.0
2018-05-01,4601.0
2018-06-01,4575.0
2018-07-01,4600.0
2018-08-01,4556.0
2018-09-01,4629.0
2018-10-01,4638.0
2018-11-01,4669.0
2018-12-01,4664.0
2019-01-01,4660.0
2019-02-01,4667.0
2019-03-01,4704.0
2019-04-01,4686.0
2019-05-01,4683.0
2019-06-01,4736.0
2019-07-01,4760.0
2019-08-01,4783.0
2019-09-01,4764.0
2019-10-01,4742.0
2019-11-01,4798.0
2019-12-01,4829.0
2020-01-01,4875.0
2020-02-01,4901.0
2020-03-01,5730.0
2020-04-01,5281.0
2020-05-01,5749.0
2020-06-01,5757.0
2020-07-01,5701.0
2020-08-01,5825.0
2020-09-01,5790.0
2020-10-01,5675.0
2020-11-01,5727.0
2020-12-01,5543.0
2021-01-01,5936.0
2021-02-01,5914.0
2021-03-01,6115.0
