Date,TotalBusinessSales
1992-01-01,517626.0
1992-02-01,520289.0
1992-03-01,530715.0
1992-04-01,533290.0
1992-05-01,536742.0
1992-06-01,541482.0
1992-07-01,545177.0
1992-08-01,541368.0
1992-09-01,546733.0
1992-10-01,545987.0
1992-11-01,550285.0
1992-12-01,552282.0
1993-01-01,558864.0
1993-02-01,558311.0
1993-03-01,554939.0
1993-04-01,560899.0
1993-05-01,568488.0
1993-06-01,566266.0
1993-07-01,566307.0
1993-08-01,566668.0
1993-09-01,571317.0
1993-10-01,577000.0
1993-11-01,577705.0
1993-12-01,577177.0
1994-01-01,584335.0
1994-02-01,588455.0
1994-03-01,595174.0
1994-04-01,596719.0
1994-05-01,600167.0
1994-06-01,605009.0
1994-07-01,610274.0
1994-08-01,619487.0
1994-09-01,619872.0
1994-10-01,628003.0
1994-11-01,631779.0
1994-12-01,642382.0
1995-01-01,644664.0
1995-02-01,645312.0
1995-03-01,641172.0
1995-04-01,649536.0
1995-05-01,647742.0
1995-06-01,654819.0
1995-07-01,653374.0
1995-08-01,657867.0
1995-09-01,664775.0
1995-10-01,662186.0
1995-11-01,665470.0
1995-12-01,678351.0
1996-01-01,660384.0
1996-02-01,659667.0
1996-03-01,676171.0
1996-04-01,677571.0
1996-05-01,684012.0
1996-06-01,688433.0
1996-07-01,687240.0
1996-08-01,689698.0
1996-09-01,695693.0
1996-10-01,695132.0
1996-11-01,703118.0
1996-12-01,700632.0
1997-01-01,703995.0
1997-02-01,717856.0
1997-03-01,718114.0
1997-04-01,718072.0
1997-05-01,714459.0
1997-06-01,722329.0
1997-07-01,727789.0
1997-08-01,727996.0
1997-09-01,731885.0
1997-10-01,730220.0
1997-11-01,737474.0
1997-12-01,733753.0
1998-01-01,731998.0
1998-02-01,740145.0
1998-03-01,741535.0
1998-04-01,740194.0
1998-05-01,742797.0
1998-06-01,736319.0
1998-07-01,733450.0
1998-08-01,738109.0
1998-09-01,743466.0
1998-10-01,750044.0
1998-11-01,752546.0
1998-12-01,755797.0
1999-01-01,757956.0
1999-02-01,765555.0
1999-03-01,765106.0
1999-04-01,769819.0
1999-05-01,780742.0
1999-06-01,782058.0
1999-07-01,785830.0
1999-08-01,795418.0
1999-09-01,796663.0
1999-10-01,805363.0
1999-11-01,809613.0
1999-12-01,817543.0
2000-01-01,825947.0
2000-02-01,816007.0
2000-03-01,831117.0
2000-04-01,834242.0
2000-05-01,829024.0
2000-06-01,839338.0
2000-07-01,833896.0
2000-08-01,829271.0
2000-09-01,845436.0
2000-10-01,838446.0
2000-11-01,834423.0
2000-12-01,841752.0
2001-01-01,834365.0
2001-02-01,836825.0
2001-03-01,823781.0
2001-04-01,818875.0
2001-05-01,827229.0
2001-06-01,815240.0
2001-07-01,812016.0
2001-08-01,817526.0
2001-09-01,803309.0
2001-10-01,815803.0
2001-11-01,808360.0
2001-12-01,805951.0
2002-01-01,805181.0
2002-02-01,808150.0
2002-03-01,808563.0
2002-04-01,822418.0
2002-05-01,822178.0
2002-06-01,825351.0
2002-07-01,825966.0
2002-08-01,835091.0
2002-09-01,831076.0
2002-10-01,830434.0
2002-11-01,836972.0
2002-12-01,830107.0
2003-01-01,841529.0
2003-02-01,841323.0
2003-03-01,850659.0
2003-04-01,835469.0
2003-05-01,837930.0
2003-06-01,848248.0
2003-07-01,856894.0
2003-08-01,859181.0
2003-09-01,865241.0
2003-10-01,868785.0
2003-11-01,874171.0
2003-12-01,876257.0
2004-01-01,878019.0
2004-02-01,887806.0
2004-03-01,911253.0
2004-04-01,906616.0
2004-05-01,916039.0
2004-06-01,915029.0
2004-07-01,918548.0
2004-08-01,928981.0
2004-09-01,935978.0
2004-10-01,949671.0
2004-11-01,956327.0
2004-12-01,967456.0
2005-01-01,973388.0
2005-02-01,978260.0
2005-03-01,978707.0
2005-04-01,993902.0
2005-05-01,987542.0
2005-06-01,999114.0
2005-07-01,1004208.0
2005-08-01,1014570.0
2005-09-01,1027244.0
2005-10-01,1034863.0
2005-11-01,1035265.0
2005-12-01,1046749.0
2006-01-01,1058602.0
2006-02-01,1056372.0
2006-03-01,1060723.0
2006-04-01,1059698.0
2006-05-01,1073680.0
2006-06-01,1076046.0
2006-07-01,1071396.0
2006-08-01,1084083.0
2006-09-01,1067874.0
2006-10-01,1063937.0
2006-11-01,1070361.0
2006-12-01,1096569.0
2007-01-01,1082091.0
2007-02-01,1095538.0
2007-03-01,1108213.0
2007-04-01,1115465.0
2007-05-01,1127789.0
2007-06-01,1125542.0
2007-07-01,1124246.0
2007-08-01,1130809.0
2007-09-01,1138202.0
2007-10-01,1152584.0
2007-11-01,1173602.0
2007-12-01,1164417.0
2008-01-01,1180989.0
2008-02-01,1176755.0
2008-03-01,1176168.0
2008-04-01,1196243.0
2008-05-01,1205632.0
2008-06-01,1222487.0
2008-07-01,1217043.0
2008-08-01,1193539.0
2008-09-01,1165351.0
2008-10-01,1113932.0
2008-11-01,1036611.0
2008-12-01,998134.0
2009-01-01,979554.0
2009-02-01,984028.0
2009-03-01,956201.0
2009-04-01,953946.0
2009-05-01,961072.0
2009-06-01,977826.0
2009-07-01,983449.0
2009-08-01,997449.0
2009-09-01,999487.0
2009-10-01,1010189.0
2009-11-01,1029230.0
2009-12-01,1038095.0
2010-01-01,1047178.0
2010-02-01,1050244.0
2010-03-01,1070644.0
2010-04-01,1082454.0
2010-05-01,1075534.0
2010-06-01,1075836.0
2010-07-01,1084103.0
2010-08-01,1090464.0
2010-09-01,1098273.0
2010-10-01,1116843.0
2010-11-01,1129325.0
2010-12-01,1143324.0
2011-01-01,1170066.0
2011-02-01,1169401.0
2011-03-01,1197357.0
2011-04-01,1203580.0
2011-05-01,1197554.0
2011-06-01,1204833.0
2011-07-01,1211720.0
2011-08-01,1218908.0
2011-09-01,1218847.0
2011-10-01,1228410.0
2011-11-01,1230776.0
2011-12-01,1238138.0
2012-01-01,1254363.0
2012-02-01,1266131.0
2012-03-01,1268317.0
2012-04-01,1270960.0
2012-05-01,1263184.0
2012-06-01,1243304.0
2012-07-01,1247423.0
2012-08-01,1259800.0
2012-09-01,1274751.0
2012-10-01,1272284.0
2012-11-01,1284328.0
2012-12-01,1284570.0
2013-01-01,1294460.0
2013-02-01,1312640.0
2013-03-01,1293434.0
2013-04-01,1286660.0
2013-05-01,1302058.0
2013-06-01,1297477.0
2013-07-01,1300254.0
2013-08-01,1307226.0
2013-09-01,1308739.0
2013-10-01,1315839.0
2013-11-01,1325898.0
2013-12-01,1326266.0
2014-01-01,1316565.0
2014-02-01,1331444.0
2014-03-01,1341448.0
2014-04-01,1351282.0
2014-05-01,1352590.0
2014-06-01,1352547.0
2014-07-01,1361238.0
2014-08-01,1360186.0
2014-09-01,1355857.0
2014-10-01,1348870.0
2014-11-01,1340758.0
2014-12-01,1327695.0
2015-01-01,1298766.0
2015-02-01,1294803.0
2015-03-01,1303482.0
2015-04-01,1310188.0
2015-05-01,1311308.0
2015-06-01,1315961.0
2015-07-01,1316802.0
2015-08-01,1306694.0
2015-09-01,1303656.0
2015-10-01,1298014.0
2015-11-01,1291352.0
2015-12-01,1278040.0
2016-01-01,1269577.0
2016-02-01,1268715.0
2016-03-01,1272728.0
2016-04-01,1280201.0
2016-05-01,1282652.0
2016-06-01,1298465.0
2016-07-01,1292779.0
2016-08-01,1297013.0
2016-09-01,1301685.0
2016-10-01,1307594.0
2016-11-01,1306556.0
2016-12-01,1332859.0
2017-01-01,1339998.0
2017-02-01,1342192.0
2017-03-01,1337842.0
2017-04-01,1339880.0
2017-05-01,1336154.0
2017-06-01,1340636.0
2017-07-01,1341403.0
2017-08-01,1355483.0
2017-09-01,1373595.0
2017-10-01,1384787.0
2017-11-01,1405256.0
2017-12-01,1416369.0
2018-01-01,1405906.0
2018-02-01,1417029.0
2018-03-01,1415595.0
2018-04-01,1424121.0
2018-05-01,1448251.0
2018-06-01,1442883.0
2018-07-01,1446138.0
2018-08-01,1451630.0
2018-09-01,1453489.0
2018-10-01,1457208.0
2018-11-01,1450127.0
2018-12-01,1430111.0
2019-01-01,1425097.0
2019-02-01,1432353.0
2019-03-01,1441302.0
2019-04-01,1438497.0
2019-05-01,1446071.0
2019-06-01,1437757.0
2019-07-01,1439521.0
2019-08-01,1439516.0
2019-09-01,1431833.0
2019-10-01,1422165.0
2019-11-01,1430447.0
2019-12-01,1429010.0
2020-01-01,1424371.0
2020-02-01,1420566.0
2020-03-01,1336911.0
2020-04-01,1141868.0
2020-05-01,1242802.0
2020-06-01,1353122.0
2020-07-01,1403475.0
2020-08-01,1419158.0
2020-09-01,1432718.0
2020-10-01,1448241.0
2020-11-01,1452913.0
2020-12-01,1484781.0
2021-01-01,1532156.0
2021-02-01,1508846.0
2021-03-01,1588213.0
2021-04-01,1605656.0
2021-05-01,1607943.0
2021-06-01,1629252.0
2021-07-01,1644160.0
2021-08-01,1646813.0
2021-09-01,1665277.0
2021-10-01,1699733.0
2021-11-01,1727241.0
2021-12-01,1732462.0
2022-01-01,1773910.0
2022-02-01,1795138.0
2022-03-01,1836218.0
2022-04-01,1846445.0
2022-05-01,1852325.0
2022-06-01,1871038.0
2022-07-01,1847251.0
2022-08-01,1853648.0
2022-09-01,1854275.0
2022-10-01,1862020.0
2022-11-01,1842417.0
2022-12-01,1830079.0
2023-01-01,1851731.0
2023-02-01,1848051.0
2023-03-01,1820425.0
2023-04-01,1821635.0
